District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total_Cases,year_total,female_total
AJMER,2016,1,4,2,36,79,21,2,0,145,2741800,1336340
BHILWARA,2016,0,0,2,35,21,18,0,0,76,2556545,1260785
NAGAUR,2016,0,0,2,6,72,16,2,0,98,3511028,1710452
TONK,2016,0,0,2,4,19,8,0,0,33,1508677,735792
JAIPUR,2016,1,2,9,49,277,89,2,0,429,7033406,3351733
JHUNJHUNU,2016,0,0,0,6,45,17,0,0,68,2268382,1105135
SIKAR,2016,0,3,4,12,40,17,0,0,76,2841875,1382382
DAUSA,2016,0,1,1,32,40,5,0,0,79,1734856,824351
ALWAR,2016,0,2,15,33,110,74,5,0,239,3899984,1841791
BIKANER,2016,0,0,0,0,11,78,0,0,89,2509218,1192161
CHURU,2016,0,0,5,16,57,14,0,0,92,2164892,1048827
SRI GANGANAGAR,2016,0,1,2,16,121,40,2,0,182,2090188,982727
HANUMANGARH,2016,0,3,15,20,45,18,0,0,101,1883760,895348
BHARATPUR,2016,0,1,7,6,136,32,4,0,186,2705084,1266038
SAWAIMADHOPUR,2016,2,3,14,3,39,2,1,0,64,1417630,670332
DHOLPUR,2016,0,0,0,0,52,23,0,0,75,1280665,586847
KARAULI,2016,0,2,6,7,44,21,0,0,80,1547868,716069
JODHPUR CITY EAST,2016,0,2,6,26,80,13,0,0,127,3913769,1871601
JALORE,2016,0,0,0,0,32,17,0,0,49,1941119,946922
JAISALMER,2016,0,0,0,5,2,3,0,0,10,711090,327153
BARMER,2016,0,1,12,11,65,17,0,0,106,2763771,1310612
PALI,2016,0,0,0,0,92,0,0,0,92,2162797,1074355
SIROHI,2016,0,0,0,1,39,4,0,0,44,1100037,532974
KOTA,2016,0,5,6,7,100,30,2,0,150,2070918,986999
BUNDI,2016,0,4,14,12,42,16,0,0,88,1179179,566549
JHALAWAR,2016,2,2,10,6,49,27,6,0,102,1497853,728145
BARAN,2016,0,0,0,44,25,20,8,0,97,1297902,624997
UDAIPUR,2016,0,0,15,18,24,14,0,0,71,3256997,1593905
BANSWARA,2016,0,1,12,38,113,21,0,0,185,1907954,944412
CHITTORGARH,2016,0,0,0,35,87,21,7,0,150,1639249,807946
DUNGARPUR,2016,0,0,24,11,34,28,0,0,97,1473889,734550
RAJSAMAND,2016,0,0,10,10,6,17,0,0,43,1227678,610612
PRATAPGARH,2016,0,0,0,34,34,66,0,0,134,921184,456537
AJMER,2017,2,2,7,9,60,31,2,0,113,2774701,1352376
BHILWARA,2017,0,0,0,0,66,22,15,0,103,2587223,1275915
NAGAUR,2017,0,0,14,9,31,34,10,0,98,3553161,1730977
TONK,2017,0,0,2,7,12,5,0,0,26,1526781,744621
JAIPUR,2017,1,2,17,28,181,45,0,1,275,7117806,3391954
JHUNJHUNU,2017,0,0,7,17,35,19,3,0,81,2295603,1118397
SIKAR,2017,0,2,6,13,49,16,9,0,95,2875977,1398970
DAUSA,2017,2,3,9,15,23,8,0,0,60,1755674,834243
ALWAR,2017,1,3,6,8,228,33,6,0,285,3946784,1863892
BIKANER,2017,0,0,0,0,12,97,0,0,109,2539329,1206467
CHURU,2017,0,0,0,0,66,32,0,0,98,2190871,1061413
SRI GANGANAGAR,2017,0,0,9,10,72,38,0,1,130,2115270,994520
HANUMANGARH,2017,0,0,0,0,69,19,5,0,93,1906365,906092
BHARATPUR,2017,0,0,0,0,166,25,0,0,191,2737545,1281231
SAWAIMADHOPUR,2017,1,1,11,3,27,11,2,1,57,1434642,678376
DHOLPUR,2017,0,3,6,9,38,7,1,0,64,1296033,593889
KARAULI,2017,0,2,6,5,38,12,5,0,68,1566443,724662
JODHPUR,2017,0,0,5,12,66,54,4,0,141,3960734,1894060
JALORE,2017,0,0,0,0,31,0,0,0,31,1964412,958285
JAISALMER,2017,0,1,2,0,5,2,0,0,10,719624,331079
BARMER,2017,0,1,3,9,64,6,1,0,84,2796936,1326340
PALI,2017,0,0,0,20,41,49,5,0,115,2188750,1087247
SIROHI,2017,0,0,4,12,19,27,0,0,62,1113238,539369
KOTA ,2017,0,0,12,15,78,23,0,0,128,2095769,998843
BUNDI,2017,0,0,0,16,49,10,0,0,75,1193330,573347
JHALAWAR,2017,0,1,7,5,67,15,1,0,97,1515828,736883
BARAN,2017,0,7,0,17,65,13,0,0,102,1313477,632497
UDAIPUR,2017,0,0,0,0,138,16,0,0,154,3296081,1613031
BANSWARA,2017,0,0,0,11,40,18,2,0,71,1930849,955744
CHITTORGARH,2017,0,0,0,0,53,31,0,0,84,1658920,817642
DUNGARPUR,2017,0,1,13,22,39,14,0,0,89,1491575,743364
RAJSAMAND,2017,0,0,1,13,16,3,0,0,33,1242411,617939
PRATAPGARH,2017,0,0,9,35,44,9,0,0,97,932238,462016
AJMER,2018,3,2,15,25,88,26,0,0,159,2807998,1368604
BHILWARA,2018,0,0,0,0,99,45,15,0,159,2618270,1291226
NAGAUR,2018,0,0,22,14,58,32,6,0,132,3595798,1751749
TONK,2018,0,0,2,29,18,12,1,0,62,1545102,753557
JAIPUR,2018,3,4,29,44,249,59,11,0,399,7203220,3432657
JHUNJHUNU,2018,0,1,2,4,47,52,22,0,128,2323150,1131818
SIKAR,2018,0,2,11,18,45,31,11,0,118,2910489,1415758
DAUSA,2018,0,0,0,0,80,10,1,0,91,1776742,844254
ALWAR,2018,0,3,36,51,216,38,7,0,351,3994146,1886259
BIKANER,2018,0,0,13,22,53,42,6,0,136,2569801,1220945
CHURU,2018,0,4,21,14,60,42,0,0,141,2217161,1074150
SRI GANGANAGAR,2018,1,4,15,17,92,57,1,1,188,2140653,1006454
HANUMANGARH,2018,1,1,38,18,67,28,1,0,154,1929241,916965
BHARATPUR,2018,0,4,19,17,132,31,0,0,203,2770395,1296606
SAWAIMADHOPUR,2018,0,0,6,3,51,9,13,0,82,1451858,686516
DHOLPUR,2018,0,0,11,16,29,16,4,0,76,1311586,601016
KARAULI,2018,0,2,8,7,48,32,1,0,98,1585240,733357
JODHPUR ,2018,1,2,10,38,82,25,0,0,158,4008263,1916789
JALORE,2018,0,0,0,4,0,51,0,0,55,1987985,969784
JAISALMER,2018,0,0,3,4,9,3,0,0,19,728259,335052
BARMER,2018,0,1,11,15,59,19,1,0,106,2830499,1342256
PALI,2018,0,1,4,5,96,22,0,0,128,2215015,1100294
SIROHI,2018,0,0,3,14,24,13,8,0,62,1126596,545842
KOTA ,2018,3,5,10,10,62,37,4,0,131,2120918,1010829
BUNDI,2018,0,0,0,6,60,9,0,0,75,1207649,580227
JHALAWAR,2018,1,2,19,11,72,15,2,0,122,1534017,745725
BARAN,2018,0,2,22,18,42,20,2,0,106,1329239,640087
UDAIPUR,2018,3,5,12,65,119,40,0,0,244,3335634,1632388
BANSWARA,2018,0,0,6,7,34,21,8,0,76,1954019,967213
