District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total
AJMER,2016,1,3,2,35,76,20,2,0,139
BHILWARA,2016,0,0,2,35,21,18,0,0,76
NAGAUR,2016,0,0,2,6,72,16,2,0,98
TONK,2016,0,0,2,4,19,8,0,0,33
JAIPUR CITY (N),2016,0,0,2,5,31,20,1,0,59
JAIPUR CITY (S),2016,1,0,2,10,56,16,0,0,85
JAIPUR CITY (E),2016,0,0,0,9,43,18,1,0,71
JAIPUR CITY (W),2016,0,0,0,12,96,7,0,0,115
JAIPUR RURAL,2016,0,2,5,13,51,28,0,0,99
JHUNJHUNU,2016,0,0,0,6,45,17,0,0,68
SIKAR,2016,0,3,4,12,40,17,0,0,76
DAUSA,2016,0,1,1,32,40,5,0,0,79
ALWAR,2016,0,2,15,33,110,74,5,0,239
BIKANER,2016,0,0,0,0,11,78,0,0,89
CHURU,2016,0,0,5,16,57,14,0,0,92
SRI GANGANAGAR,2016,0,1,2,16,121,40,2,0,182
HANUMANGARH,2016,0,3,15,20,45,18,0,0,101
BHARATPUR,2016,0,1,7,6,136,32,4,0,186
SAWAIMADHOPUR,2016,2,3,14,3,39,2,1,0,64
DHOLPUR,2016,0,0,0,0,52,23,0,0,75
KARAULI,2016,0,2,6,7,44,21,0,0,80
JODHPUR CITY EAST,2016,0,1,2,2,22,0,0,0,27
JODHPUR CITY WEST,2016,0,1,4,7,22,11,0,0,45
JODHPUR RURAL,2016,0,0,0,17,36,2,0,0,55
JALORE,2016,0,0,0,0,32,17,0,0,49
JAISALMER,2016,0,0,0,5,2,3,0,0,10
BARMER,2016,0,1,12,11,65,17,0,0,106
PALI,2016,0,0,0,0,92,0,0,0,92
SIROHI,2016,0,0,0,1,39,4,0,0,44
KOTA CITY,2016,0,5,6,7,66,10,0,0,94
KOTA RURAL,2016,0,0,0,0,34,20,2,0,56
BUNDI,2016,0,4,14,12,42,16,0,0,88
JHALAWAR,2016,2,2,10,6,49,27,6,0,102
BARAN,2016,0,0,0,44,25,20,8,0,97
UDAIPUR,2016,0,0,15,18,24,14,0,0,71
BANSWARA,2016,0,1,12,38,113,21,0,0,185
CHITTORGARH,2016,0,0,0,35,87,21,7,0,150
DUNGARPUR,2016,0,0,24,11,34,28,0,0,97
RAJSAMAND,2016,0,0,10,10,6,17,0,0,43
PRATAPGARH,2016,0,0,0,34,34,66,0,0,134
GRP AJMER,2016,0,1,0,1,3,1,0,0,6
GRP JODHPUR,2016,0,0,0,0,0,0,0,0,0
JAIPUR METRO,2016,0,0,0,0,0,0,0,0,0
AJMER,2017,2,2,7,9,59,31,2,0,112
BHILWARA,2017,0,0,0,0,66,22,15,0,103
NAGAUR,2017,0,0,14,9,31,34,10,0,98
TONK,2017,0,0,2,7,12,5,0,0,26
JAIPUR CITY (N),2017,0,0,4,8,8,21,0,0,41
JAIPUR CITY (S),2017,1,0,4,0,49,1,0,0,55
JAIPUR CITY (E),2017,0,0,2,3,36,10,0,0,51
JAIPUR CITY (W),2017,0,0,0,5,54,5,0,0,64
JAIPUR RURAL,2017,0,2,7,12,34,8,0,1,64
JHUNJHUNU,2017,0,0,7,17,35,19,3,0,81
SIKAR,2017,0,2,6,13,49,16,9,0,95
DAUSA,2017,2,3,9,15,23,8,0,0,60
ALWAR,2017,1,3,6,8,228,33,6,0,285
BIKANER,2017,0,0,0,0,12,97,0,0,109
CHURU,2017,0,0,0,0,66,32,0,0,98
SRI GANGANAGAR,2017,0,0,9,10,72,38,0,1,130
